"cluster","P1","P2","P3","P3A","P5_1","P5_2","P5_3","P5_4","P6_1","P6_2","P6_3","P6_4","P6_5","P6_6","P6_7","P7","P8","P9","P10","P11_1","P11_2","P11_3","P11_4","P11_5","P11_6","P11_7","P11_8","P11_9","P12_1","P12_2","P12_3","P12_4","P12_5","P12_6","P12_7","P12_8","P12_9","P12_10","P12_11","P12_12","P12_13","P12_14","P12_15","P14A","P14B","P16A","P16B","P18","P26","P27","P28","P29","P30","P13_dolores"
1,-0.44,0.29,0.34,0.17,-1.33,-1.29,-1.42,-1.35,-0.95,-0.27,-0.85,-1.15,-0.92,-0.6,-0.82,-0.13,-0.28,-0.03,-0.83,-1.51,-1.32,-1.19,-1.32,-1.38,-1.11,-1.31,-1,-1.25,-0.56,-0.48,-0.17,-0.31,-0.48,-0.44,-0.45,-0.4,-0.43,-0.68,-0.73,-0.42,-0.81,-0.56,-0.39,-1.03,-0.57,-0.12,-0.39,0.02,-0.48,-1.11,-0.48,-1,-0.59,-0.55
2,-0.16,-0.05,0.12,0.06,-0.1,0.1,0.04,0.18,-0.03,0.26,0.33,0.17,-0.16,-0.19,-0.26,-0.12,-0.36,0.01,0.49,0.32,-0.02,0.33,-0.07,-0.04,0.02,0.19,0.08,-0.06,-0.25,-0.1,-0.43,-0.48,-0.47,-0.36,-0.28,-0.35,-0.52,-0.18,-0.44,-0.47,-0.67,-0.65,-0.51,-0.01,-0.34,-0.19,0.07,0.05,0.21,0.27,0.14,0.16,0.22,-0.34
3,0.32,0.05,-0.01,0.31,0.55,0.53,0.6,0.45,0.5,0.39,0.34,0.59,0.73,0.61,0.57,0.5,0.59,0.08,0.44,0.59,0.54,0.58,0.49,0.61,0.45,0.51,0.63,0.58,0.49,0.57,0.57,0.65,0.43,0.49,0.48,0.56,0.73,0.4,0.41,0.38,0.44,0.74,0.49,0.6,0.57,0.04,0.03,0.17,0.11,0.18,0.07,0.17,0.22,0.31
