"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","impacto_salud_mental"
-5.14175491270966,1.39471227214078,1.85154730113985,-1.35151310984283,1.15381587082817,-2.43906049823875,-1.12696554657061,1.5950882318411,-1.9762889036019,-0.681422181724147,1.26970646142758,0.458148438698472,-0.979349860286181,0.190861642640371,-0.0319122127883976,"Moderada Afectación"
2.25716162735354,1.03965371592689,-0.936591781542793,-1.11684787579257,-2.04299240617518,1.48153679969915,1.15815408354567,-0.135266014849343,-0.65243133193272,-0.372221356767651,-0.663259174247114,0.353321152341455,-0.751969372126072,0.6703705845105,1.16057651275198,"Baja Afectación"
-0.126149264183068,1.85513405342035,0.792727969948386,0.670663922792946,-0.219182103897085,-0.226676458493998,-2.10794510683809,-1.11852138421728,1.3452471046245,1.91982855595931,0.444847019374323,-1.22410432275995,1.40285972208942,1.3054771863022,-1.99891379262374,"Moderada Afectación"
2.60925098882466,2.05005464407326,0.196643613693867,0.271375128123775,0.680232934760912,-0.677336485688185,-1.28192959503031,0.0714292523519594,0.508291685242336,-0.421821012872024,0.666132696614301,-0.251638796166238,-0.130163600237221,-0.0291514959146361,0.175789498362714,"Baja Afectación"
1.61291024370118,3.41852573939089,-0.113388475088439,0.407315093172136,0.35592047973516,0.0797809181317682,-1.8115157961036,0.110054060219064,0.635989021833281,-0.531968374087765,1.39713517906747,-1.52617756138898,1.06096566427323,-2.13003803240214,0.54252344896294,"Moderada Afectación"
3.1073476947678,1.80792397376187,0.0983104766816003,-0.499568085730422,0.781547827183561,0.0831175279602276,-0.303257034981256,2.28693180456986,0.586344521461165,0.79402897870206,0.248764543128384,0.906995005559699,-0.521703818235628,0.0717133858730591,-0.0920207542328653,"Baja Afectación"
-4.11358141122332,1.94413762676384,-0.0658670646580746,0.449807363561057,-0.435706654081217,1.21606839101549,-0.304798667016929,-1.35223535961334,1.58502815672917,0.00928696019256239,-1.11474913806015,-1.63565004401498,0.713500157155519,0.759410070326308,-0.575754277622828,"Moderada Afectación"
4.14166176900334,-1.14459839142012,1.33059968801525,-1.85520846853011,-0.192862013977734,1.5601834771699,-2.31365441391117,-1.88642679870803,0.10212310116304,-0.670825853681378,-1.69712628763242,2.1399148215511,2.0156129503518,-1.3387522968545,-0.172685024445256,"Baja Afectación"
1.78531317836429,0.673047686819339,1.17157671758204,0.149738864054581,0.617979424013156,-0.187477268710982,0.36680485715651,-1.07186545270115,1.21857365158237,1.48804451079446,0.228001532331745,-0.511709887029395,-0.382078190314268,0.93871204211264,0.218260916113577,"Baja Afectación"
-2.46070397392913,1.78639122954809,-2.06016279680866,-1.1080801077254,-2.13413257248456,-2.29910555664088,-0.144003543524619,0.816988716291657,1.14646850994612,-0.558058557411275,0.87151863902874,0.121331976789274,1.89325495035761,0.944832108085438,0.543649813193379,"Moderada Afectación"
