"","x"
"1",0.271856193997062
"2",0.0726458080999378
"3",0.0424281141197348
"4",0.036760583959644
"5",0.0339659456293225
"6",0.0320025522637431
"7",0.0278520701410039
"8",0.0265497505937153
"9",0.022664619636648
"10",0.0220977721526471
"11",0.021086823831943
"12",0.0208408376906523
"13",0.0184388314710811
"14",0.0175111675943598
"15",0.0170696443120339
"16",0.0167629696551663
"17",0.0161815187192198
"18",0.0149930609153165
"19",0.0143426721128049
"20",0.0141478840000568
"21",0.0130883789212916
"22",0.0123704683484198
"23",0.0122072439223184
"24",0.0119443577357474
"25",0.0112340945659182
"26",0.0107531124606028
"27",0.0103288057704204
"28",0.0102365853840234
"29",0.00977805916549962
"30",0.00924570235642962
"31",0.00868877268462069
"32",0.00842081416659042
"33",0.00827922312738401
"34",0.00795973341184877
"35",0.00739873875412538
"36",0.00725202895898057
"37",0.0069692560950689
"38",0.00656868950077875
"39",0.00642810338610661
"40",0.00606306301691331
"41",0.00597473078470903
"42",0.00543971643114472
"43",0.00522129103023502
"44",0.00518651192608388
"45",0.00480241873748764
"46",0.00449840349265811
"47",0.00432291186718835
"48",0.00389937101185242
"49",0.00360384482001783
"50",0.00354565414233739
"51",0.00294898911352562
"52",0.00262495346032063
"53",0.00251715055325758
