"","Prediction","Reference","Freq"
"1","Alta Afectación","Alta Afectación",5
"2","Moderada Afectación","Alta Afectación",0
"3","Baja Afectación","Alta Afectación",0
"4","Alta Afectación","Moderada Afectación",0
"5","Moderada Afectación","Moderada Afectación",40
"6","Baja Afectación","Moderada Afectación",0
"7","Alta Afectación","Baja Afectación",0
"8","Moderada Afectación","Baja Afectación",0
"9","Baja Afectación","Baja Afectación",55
