"","Alta Afectación","Moderada Afectación","Baja Afectación","MeanDecreaseAccuracy","MeanDecreaseGini"
"impacto_raw",9.80402657601113,18.8771932689567,19.0614752437267,21.1485649101385,12.1657270289187
"P11_1",7.65152033844291,0.384313465032887,2.14991302730686,5.24246487323013,1.77445251163857
"P11_8",7.19914540885257,-0.46165517234957,4.69117624538366,6.09593595969309,1.48071645009077
"P12_1",6.87608405744832,2.19623537314785,6.40792475730621,8.07726178968873,2.38600566536558
"P11_9",6.26926924425735,-0.239958693372341,5.23520445988584,6.01942454440328,1.4184210856585
"P11_7",6.0007908275799,-1.45882825122642,2.84909127448479,3.35107217690337,1.25718058915166
"P6_5",5.77646556377738,5.28442783444176,6.1076212240643,8.29870007812466,3.12580399129821
"P11_3",5.24879263736515,-0.919097868819414,4.87231069789428,5.16122462140757,1.3589993748568
"P12_11",5.04021797256747,0.087547389186186,1.61352026364152,2.89539734803481,0.743794917011627
"P6_7",4.8971115560217,4.73970950079798,2.74485321434467,6.34989976022875,2.9179395446261
"P6_4",4.60740742546505,-1.33119969419519,2.91556618811178,3.72403883979419,1.04229630594817
"P5_2",4.34309798052629,-0.111587021134843,1.61117936295734,2.85817152613419,0.592326687694764
"P12_7",4.2150323203896,1.36998831407697,4.45863685784819,5.02657155417949,1.63733464341123
"P11_2",4.11279861941017,-0.183712231484624,1.20009091748091,2.07087938622052,0.985452492760652
"P14A",4.01589825593631,-0.706626731940989,0.296719190089839,1.86926676548771,0.42031043982016
"P11_4",3.89459027666375,-2.82046253568031,1.02765112575771,0.13533740312223,0.434031757884489
"P11_5",3.54974029033672,-0.506742661379975,1.5259133176449,1.85182806921045,0.920391852620455
"P12_3",3.49263264667725,2.07080546360134,2.7467383608855,3.8527521634649,1.00686536154256
"P12_12",3.39176771458505,0.376558412264283,3.39338390172128,3.39508508133017,0.620198100048381
"P6_1",3.21725400530255,1.05231092408384,0.0576514046549717,2.14493558164591,0.58356852322846
"P12_4",3.15255927691176,2.20120298941218,0.873655352911334,2.94827063922713,0.928793452632373
"P12_5",3.14052452485235,-1.12246643160573,1.14664899211351,1.04142290375254,0.327162594654141
"P11_6",2.78925843476019,-1.76116671509795,1.69372712422302,1.18242926858168,0.391482505101923
"P12_8",2.72998650059043,4.89110246072217,5.25156789286003,6.76360627049847,1.81684040154913
"P16B",2.63719972572776,0.691044961872857,1.41887753076618,2.65148900045501,0.136419617793959
"P14B",2.17803420934516,0.800290464010245,1.32675936758942,1.8780620935872,0.40304939939418
"P6_2",2.17385866681311,-0.145258691595782,1.92354508160371,1.87373777041521,0.307651053665546
"P7",1.84453388024833,0.445960639130185,-0.341197441647813,0.641342157982403,0.30641407859719
"P12_10",1.84181618949605,0.17392911726377,2.12754041450418,2.03612793689663,0.569858562840538
"P12_6",1.73727046020804,2.10763684527011,0.362877025805637,1.78827517164448,0.710266774801668
"P5_3",1.42191469104379,0.0629891306892776,3.41361786994868,3.76817828433118,0.477979327522307
"P12_2",1.4075290186004,-0.460108411900071,4.25223378745241,3.67788729924454,1.22324715735949
"P12_13",1.37257012811507,0.0613162394718175,3.58260217015748,2.98694939064419,0.847507506139608
"P5_4",1.18001628336585,1.04949137687808,1.98885149021903,2.37632763621736,0.62670334830154
"P12_14",1.10545331757981,0.578088584836121,0.176568369270505,0.592337778129109,0.608645930368478
"P8",1.07518428071057,0.372372313865457,-0.168902872861517,0.273996663454957,0.583398893795167
"P16A",1.00100150250438,-1.58480778955734,-0.747448201625793,-1.41198916854138,0.172561093534522
"P26",1.00100150250438,-1.14095408806519,-1.08743440281674,-1.30273179899977,0.105403994771463
"P10",0.995543006798942,-1.61878244982859,2.56846753463268,2.16085278403972,0.187752293973771
"P5_1",0.350866393936765,-1.35703013328812,-1.67619272208152,-2.1802419498363,0.316288491656869
"P12_9",0.188854128938878,1.96702471837208,3.00750902481591,3.06056365127073,0.763754966942204
"P6_6",0.0461758081099468,1.60140792189405,3.81216676969717,3.57714518001298,0.714068643840378
"CCAA",0,0,0,0,0.00340909090909091
"P2",0,-0.253125215938028,-1.87843560180822,-1.67371672626899,0.0506315202032754
"P3",0,0.439000046530463,0.508699283026373,0.475498031153124,0.140356414571329
"P27",0,0.756974558060403,1.00100150250438,1.00607312046774,0.0247900621118012
"P28",0,0,-0.567199090458688,-0.545436139221062,0.0286996382272698
"P29",0,0,1.00100150250438,1.00100150250438,0.036558563034152
"P30",0,-1.98941433056641,-1.00100150250438,-1.94083979513769,0.0176912990962603
"P13_dolores",0,0.500213625647444,-2.0849253925452,-1.17451297174622,0.0868522631366818
"P6_3",-0.254016642699563,-0.492072466427175,2.65002864575107,1.94245750519766,0.18780292087012
"P18",-0.277371435197549,-0.299529403033842,-1.77753662828255,-1.51180249686075,0.106077862620636
"P12_15",-0.611075277500422,-1.21338268616375,2.07853967910277,0.678280081828628,0.556643282195041
"PROV",-0.658790339980148,-0.57341631344019,-0.8173735093798,-1.01491813766583,0.402545649684822
"P9",-0.661983064597642,-0.311517731621373,0.772570688533894,-0.0730011851156543,0.29361533677068
"SEXO",-1.34406227991274,-0.307199187739592,0.30886344218185,-0.388139192626879,0.205844913374328
"P3A",-1.57532347087875,0.726288669611541,1.65030298852714,0.96702205342749,0.126216840641299
"EDAD",-1.63736530665978,0.222565166270076,-1.21450317478394,-0.773383997296947,0.712272319702869
"P1",-1.99031926457252,1.66516263048248,0.347917190781184,1.07715153516996,0.491751276704756
