"Variable","Loading","Region"
"P12_1",0.130064977222238,"Madrid"
"P12_5",0.129250069537735,"Castilla y León"
"P14A",0.129104718034189,"Castilla y León"
"P12_12",0.128518572096747,"Castilla y León"
"P6_2",0.128432070976864,"Madrid"
"P8",-0.127776336913114,"Andalucía"
"P12_8",-0.126775766650257,"Galicia"
"P12_14",-0.126453605639776,"Andalucía"
"P12_5",-0.126350960631942,"Andalucía"
"P8",0.125900828147896,"Castilla y León"
"P14B",-0.125583144380727,"Galicia"
"P5_1",0.125361042315235,"Castilla y León"
"P6_2",0.124875440435793,"Castilla y León"
"P14B",0.124316428288777,"País Vasco"
"P8",-0.123617788966597,"Galicia"
"P12_6",-0.123504306668226,"Andalucía"
"P12_10",0.123275514565776,"Madrid"
"P12_5",-0.122789368529583,"Galicia"
"P12_11",0.122763962951651,"Madrid"
"P6_1",0.122553539033812,"País Vasco"
"P12_7",-0.122476063453479,"Andalucía"
"P7",0.121127787502926,"País Vasco"
"P12_10",-0.121037826933341,"Galicia"
"P12_15",-0.120840969246062,"Galicia"
"P12_12",0.120005076391562,"Madrid"
"P6_6",0.119829754785554,"País Vasco"
"P26",0.119797675428982,"País Vasco"
"P12_4",-0.118604839127501,"Galicia"
"P12_15",0.117635591413031,"Castilla y León"
"P12_6",0.117574703225195,"Madrid"
"P12_6",-0.116570135904111,"Galicia"
"P12_3",-0.113868161752604,"Galicia"
"P12_11",-0.113762088617356,"Galicia"
"P27",-0.112421619689146,"Galicia"
"P12_8",0.112333900636722,"Madrid"
"P14B",-0.112229404282846,"Andalucía"
"P8",0.111988083158278,"Madrid"
"P11_4",0.109981523603945,"País Vasco"
"P12_14",0.109818668752532,"Castilla y León"
"P12_9",0.109709877081334,"Madrid"
"P13_dolores",0.109322412564343,"Madrid"
"P29",-0.109191209119301,"Andalucía"
"P6_7",0.108422491470301,"País Vasco"
"P13_dolores",-0.107615202199628,"Andalucía"
"P14B",0.104311658598793,"Madrid"
"P12_11",-0.103815506779304,"Andalucía"
"P13_dolores",-0.103354057420965,"Galicia"
"P1",-0.10143029370112,"Galicia"
"P1",0.101393665194371,"Madrid"
"P5_1",0.100261677397499,"País Vasco"
"P5_2",0.099424299865048,"País Vasco"
"P28",-0.0990049648960235,"Andalucía"
"P12_11",0.0987948277899574,"Castilla y León"
"P7",0.0972244085508104,"Madrid"
"P13_dolores",0.0967415062031989,"Castilla y León"
"P12_10",0.0965061012002598,"Castilla y León"
"P12_9",0.0963101803173869,"País Vasco"
"P12_12",-0.0958699085774934,"Andalucía"
"P16B",0.0952444037688052,"País Vasco"
"P16A",0.0914936709225479,"País Vasco"
"P29",-0.0885495655327565,"Galicia"
"P1",-0.0858362449003955,"Andalucía"
"P12_10",-0.0857650502279236,"Andalucía"
"P29",0.0851883170063263,"Madrid"
"P7",0.0848824923610266,"Castilla y León"
"P7",-0.0808617110014762,"Galicia"
"P6_2",0.0800026159222119,"País Vasco"
"P6_2",-0.0786973757846653,"Galicia"
"P7",-0.0786481463270919,"Andalucía"
"P1",0.0753339204910854,"País Vasco"
"P12_12",-0.0739754046625306,"Galicia"
"P29",0.0728056583895883,"País Vasco"
"P26",-0.070796290704174,"Andalucía"
"P16B",0.0680198746787713,"Castilla y León"
"P27",0.0658290779339357,"Madrid"
"P26",0.0645798210897801,"Madrid"
"P26",-0.0638174517813824,"Galicia"
"P27",-0.0619457016890404,"Andalucía"
"P28",0.0616293735586089,"Madrid"
"P12_11",0.0610535273917491,"País Vasco"
"P28",-0.0565919480550602,"Galicia"
"P16B",-0.0546978998261062,"Galicia"
"P3",0.0545856645032055,"Galicia"
"P12_10",0.051905494973548,"País Vasco"
"P16A",-0.049538807529957,"Andalucía"
"P3A",0.0470559466408729,"País Vasco"
"P16B",-0.0440770957618525,"Andalucía"
"P16A",-0.0416436706699974,"Galicia"
"P3A",0.0414771000080107,"Madrid"
"P26",0.0395157857435321,"Castilla y León"
"P9",-0.0320166869184661,"Galicia"
"P18",0.0317078912312999,"Castilla y León"
"P3A",-0.0310588948254786,"Andalucía"
"P10",0.0265823574981435,"País Vasco"
"P3",0.0253141226676986,"Madrid"
"P9",-0.0233636799064341,"Castilla y León"
"P3",0.0232849068010851,"Castilla y León"
"P29",0.0229843231187001,"Castilla y León"
"P9",-0.0215471636904446,"Madrid"
"P16A",0.020970207310529,"Madrid"
"P16B",0.0194025240633851,"Madrid"
"P18",-0.0191039277254986,"Galicia"
"P2",0.0190628756892195,"Galicia"
"P18",-0.0165349201671983,"País Vasco"
"P3A",-0.0153917076769725,"Galicia"
"P3",-0.0142655001056282,"País Vasco"
"P9",-0.0139657350203275,"País Vasco"
"P9",-0.0137747278414101,"Andalucía"
"P2",-0.0130273182311466,"Andalucía"
"P18",0.0124991022152386,"Madrid"
"P27",0.0119068241681884,"País Vasco"
"P3A",0.010904235385312,"Castilla y León"
"P28",0.00933482359760192,"Castilla y León"
"P2",0.0091976065249546,"Madrid"
"P27",0.00841440192649726,"Castilla y León"
"P3",-0.00818464865447094,"Andalucía"
"P16A",0.00777507495060058,"Castilla y León"
"P2",-0.0064732063744759,"Castilla y León"
"P18",-0.00494354690804319,"Andalucía"
"P28",-0.00107830713612347,"País Vasco"
"P2",0.00105540200713983,"País Vasco"
