"CCAA","PROV","SEXO","EDAD","P1","P2","P3","P3A","P5_1","P5_2","P5_3","P5_4","P6_1","P6_2","P6_3","P6_4","P6_5","P6_6","P6_7","P7","P8","P9","P10","P11_1","P11_2","P11_3","P11_4","P11_5","P11_6","P11_7","P11_8","P11_9","P12_1","P12_2","P12_3","P12_4","P12_5","P12_6","P12_7","P12_8","P12_9","P12_10","P12_11","P12_12","P12_13","P12_14","P12_15","P14A","P14B","P16A","P16B","P18","P26","P27","P28","P29","P30","P13_dolores","impacto_raw","impacto_salud_mental"
"Andalucía","Granada","Mujer",40,3,2,2,1,3,4,4,4,3,4,3,4,2,2,3,3,1,1,1,4,3,3,4,3,4,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,4,4,3,2,2,2,1,1,2,2,2,2,2,1,127,"Moderada Afectación"
"Andalucía","Granada","Mujer",44,2,2,2,1,1,3,3,4,3,4,4,4,2,2,1,2,2,1,2,4,2,2,4,2,2,4,3,3,4,5,1,1,1,1,5,5,1,1,1,1,4,2,2,1,1,2,2,2,2,2,2,2,2,1,125,"Moderada Afectación"
"Andalucía","Granada","Mujer",30,2,2,2,2,3,3,3,3,2,3,4,3,3,2,3,1,2,1,2,3,3,3,3,2,2,2,2,2,3,4,2,2,3,2,4,4,2,2,2,2,3,3,3,1,1,2,2,2,2,2,2,2,2,1,128,"Moderada Afectación"
"Andalucía","Granada","Hombre",56,1,2,1,2,1,1,2,3,3,3,3,3,2,4,1,3,1,1,2,3,2,3,2,1,3,3,3,3,3,3,1,1,1,1,3,3,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,106,"Moderada Afectación"
"Andalucía","Granada","Hombre",28,2,2,2,1,4,4,4,4,4,3,4,4,4,2,4,1,2,1,2,4,4,3,2,2,4,3,4,4,3,3,1,2,3,2,3,2,1,5,5,3,2,1,1,2,1,2,2,2,2,2,2,2,2,1,141,"Baja Afectación"
"Andalucía","Granada","Mujer",27,2,2,2,1,1,1,3,3,1,3,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,2,2,2,2,2,2,2,2,1,86,"Alta Afectación"
"Andalucía","Granada","Hombre",55,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,4,4,4,4,4,4,4,4,4,2,3,3,2,2,2,2,2,2,4,4,2,5,2,2,2,2,2,2,1,2,2,2,2,2,2,153,"Baja Afectación"
"Andalucía","Granada","Hombre",54,2,2,2,2,3,4,4,4,4,4,4,4,3,4,4,1,1,2,2,4,4,4,4,4,4,4,4,4,3,3,3,3,2,3,3,3,4,4,4,4,5,4,3,2,1,1,2,1,2,2,2,2,2,2,162,"Baja Afectación"
"Andalucía","Granada","Hombre",55,1,2,2,1,4,1,1,4,4,4,4,4,4,3,4,1,1,1,2,2,4,1,4,1,4,3,3,3,1,1,1,1,1,1,5,5,5,1,1,1,5,1,2,2,2,2,2,2,2,2,2,2,2,1,126,"Moderada Afectación"
"Andalucía","Granada","Hombre",40,2,2,2,2,2,2,2,2,2,4,4,2,2,2,1,1,1,1,1,2,2,2,4,2,4,2,2,2,2,5,2,2,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,105,"Moderada Afectación"
"Andalucía","Granada","Mujer",62,2,2,1,2,1,1,1,1,2,4,3,3,3,4,1,3,2,3,2,2,2,3,4,2,4,2,2,2,5,5,2,2,2,5,5,5,1,5,5,5,1,1,1,1,1,1,1,2,2,1,2,1,2,1,129,"Moderada Afectación"
"Andalucía","Granada","Mujer",52,2,2,2,2,4,3,3,3,1,4,4,4,3,2,2,1,1,1,2,3,3,4,4,2,3,4,4,4,4,5,3,2,2,1,2,3,5,2,2,4,4,4,3,2,2,2,2,1,2,2,2,2,2,1,143,"Baja Afectación"
"Andalucía","Granada","Hombre",38,2,2,2,1,4,4,4,4,3,4,4,4,4,4,1,3,2,1,2,4,4,4,4,3,4,4,1,4,4,4,2,1,2,1,4,4,1,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,137,"Moderada Afectación"
"Andalucía","Granada","Hombre",36,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,3,4,5,5,2,5,5,1,3,2,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,168,"Baja Afectación"
"Andalucía","Granada","Hombre",20,3,2,2,2,4,3,3,4,3,4,4,3,3,4,4,3,2,1,2,3,3,3,3,3,4,4,2,3,2,5,2,3,3,2,3,4,1,4,5,2,4,5,5,2,2,2,1,2,2,2,2,2,2,1,154,"Baja Afectación"
"Andalucía","Granada","Hombre",42,2,2,2,2,4,4,4,4,3,4,4,4,4,4,4,1,2,1,2,4,4,4,4,4,4,4,2,3,4,4,4,3,2,4,4,5,4,4,4,2,5,4,2,2,2,2,2,1,2,2,2,2,2,2,166,"Baja Afectación"
"Andalucía","Huelva","Mujer",27,3,2,2,2,2,3,3,3,3,4,3,3,4,1,3,1,1,1,1,3,3,3,4,3,1,3,1,1,1,1,2,1,1,2,2,5,1,3,5,5,5,3,3,2,1,1,1,2,1,1,1,1,1,1,120,"Moderada Afectación"
"Andalucía","Huelva","Hombre",39,1,2,2,2,3,4,4,4,2,4,4,4,3,2,2,1,2,1,2,3,3,3,4,3,4,4,4,3,3,5,2,2,2,3,5,3,3,2,2,3,5,2,2,1,1,2,2,1,2,2,2,2,2,1,142,"Baja Afectación"
"Andalucía","Huelva","Mujer",40,3,1,2,2,2,3,3,2,2,4,3,3,1,2,1,1,1,1,1,3,3,3,1,3,1,3,3,3,1,5,2,3,1,2,3,4,2,5,4,4,4,2,1,1,2,2,1,1,2,2,2,2,2,1,122,"Moderada Afectación"
"Andalucía","Huelva","Mujer",55,2,2,2,2,3,4,3,4,4,4,4,4,4,1,4,1,1,1,2,4,3,3,4,3,4,3,4,3,3,3,3,3,3,3,2,2,3,2,2,2,5,5,3,2,1,2,1,2,2,2,2,2,2,1,146,"Baja Afectación"
"Andalucía","Huelva","Mujer",76,2,2,2,2,4,4,3,4,4,4,4,4,4,4,4,3,2,1,2,4,4,4,4,4,4,4,4,4,5,5,2,2,1,5,2,4,2,5,2,2,5,1,3,2,2,2,2,2,2,2,1,2,2,1,161,"Baja Afectación"
"Andalucía","Huelva","Mujer",48,2,2,2,2,1,1,1,1,2,1,1,2,4,2,2,1,1,2,1,1,2,2,4,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,91,"Moderada Afectación"
"Andalucía","Huelva","Mujer",70,2,2,2,2,1,1,4,4,2,4,4,4,1,3,3,2,2,1,2,3,4,2,4,2,4,4,4,3,3,5,1,5,1,1,1,1,1,5,5,2,5,5,1,1,2,1,2,2,2,2,2,2,2,1,137,"Moderada Afectación"
"Andalucía","Huelva","Hombre",52,2,2,2,2,2,3,3,4,4,4,4,4,4,4,3,1,2,1,2,3,3,3,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,130,"Moderada Afectación"
"Andalucía","Huelva","Mujer",78,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,5,5,5,5,2,2,2,2,2,1,2,2,2,2,2,2,2,178,"Baja Afectación"
"Andalucía","Huelva","Mujer",48,1,2,2,2,1,1,2,2,2,4,4,1,1,3,4,1,1,1,2,1,3,1,4,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,86,"Alta Afectación"
"Andalucía","Huelva","Mujer",22,1,2,2,1,3,1,4,3,3,4,4,3,3,4,3,1,1,2,1,3,1,1,4,1,3,3,3,3,1,5,2,1,1,2,4,4,2,5,5,5,2,1,1,1,1,2,2,2,2,2,2,2,2,1,128,"Moderada Afectación"
"Andalucía","Huelva","Hombre",67,3,2,2,2,3,3,3,4,4,4,4,4,4,2,2,1,1,1,2,3,4,4,3,4,4,4,3,3,1,1,1,1,1,5,5,3,1,5,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,1,144,"Baja Afectación"
"Andalucía","Huelva","Hombre",45,2,2,2,2,3,3,4,4,3,4,4,4,3,4,4,1,1,2,2,4,3,4,4,4,4,4,4,4,1,4,3,4,2,2,5,4,2,2,2,2,5,2,2,2,1,2,2,1,2,2,2,2,2,2,151,"Baja Afectación"
"Andalucía","Huelva","Hombre",59,2,2,2,2,4,4,4,4,3,4,4,4,4,4,4,1,2,1,2,4,4,4,4,4,4,4,4,4,4,5,2,2,2,4,2,2,2,2,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,153,"Baja Afectación"
"Andalucía","Huelva","Hombre",26,2,2,2,2,4,4,4,4,3,4,4,3,2,3,1,3,2,1,2,4,4,4,4,3,4,4,4,4,2,5,1,1,2,1,5,2,5,5,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,151,"Baja Afectación"
"Andalucía","Jaén","Mujer",26,1,2,2,1,4,1,1,3,1,3,4,3,2,2,3,1,2,1,1,3,1,1,4,2,4,3,2,2,5,2,2,2,2,2,5,1,2,2,2,1,5,2,2,1,1,2,2,2,2,2,2,2,2,2,117,"Moderada Afectación"
"Andalucía","Jaén","Hombre",33,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,1,2,1,2,4,4,4,4,4,4,4,4,4,4,5,3,3,3,2,5,5,1,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,164,"Baja Afectación"
"Andalucía","Jaén","Hombre",37,1,2,2,1,1,1,3,3,1,3,4,3,3,1,1,1,1,3,2,1,3,1,4,1,1,3,3,3,1,2,1,1,1,2,2,2,1,1,1,1,4,1,2,2,1,2,2,2,2,2,2,2,2,2,101,"Moderada Afectación"
"Andalucía","Jaén","Hombre",28,2,2,2,2,3,3,3,4,3,4,4,3,3,3,3,1,1,2,1,3,3,3,3,2,3,3,2,2,2,1,1,1,1,1,1,2,1,2,3,3,2,2,1,2,1,2,1,2,2,2,2,2,2,1,116,"Moderada Afectación"
"Andalucía","Jaén","Mujer",33,2,1,1,1,1,2,1,3,2,3,3,3,2,4,3,3,2,1,2,3,3,3,4,4,3,3,3,3,2,3,2,2,2,2,3,3,3,2,2,2,3,2,2,1,1,2,2,1,1,1,2,2,2,1,120,"Moderada Afectación"
"Andalucía","Jaén","Hombre",52,1,2,1,1,4,1,4,3,1,4,4,3,3,3,2,1,1,1,2,3,1,1,4,2,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,104,"Moderada Afectación"
"Andalucía","Jaén","Hombre",84,3,2,2,2,4,4,4,3,4,4,4,4,4,4,4,3,2,1,2,4,4,4,4,4,4,4,4,3,2,5,5,3,2,5,5,5,5,5,5,3,5,3,5,2,2,2,2,2,2,2,2,2,2,2,180,"Baja Afectación"
"Andalucía","Jaén","Hombre",50,2,2,1,2,4,3,3,4,4,4,4,3,4,4,4,3,1,3,2,3,4,4,4,4,4,4,4,3,3,5,3,3,2,2,5,2,3,4,4,3,3,4,3,1,2,2,2,1,2,2,2,2,2,1,159,"Baja Afectación"
"Andalucía","Jaén","Mujer",42,1,2,2,2,4,4,3,4,3,4,4,4,4,3,4,1,2,1,2,3,4,4,4,3,4,3,3,3,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,121,"Moderada Afectación"
"Andalucía","Jaén","Mujer",31,2,1,2,1,3,2,3,4,1,4,3,2,2,2,1,1,1,1,1,1,2,2,2,1,3,2,2,1,1,3,1,1,2,1,3,1,2,5,5,2,3,2,1,1,1,1,2,2,2,2,2,2,1,1,103,"Moderada Afectación"
"Andalucía","Jaén","Hombre",57,2,1,2,2,4,4,4,4,3,4,4,4,4,3,4,3,2,1,2,4,4,4,4,3,4,4,4,4,3,5,3,3,3,5,5,5,3,5,5,3,5,3,3,2,2,2,2,2,2,2,2,2,2,1,172,"Baja Afectación"
"Andalucía","Jaén","Mujer",55,2,2,2,2,3,4,3,3,4,4,4,4,3,4,4,3,2,1,2,3,4,3,4,4,3,4,3,3,2,3,3,2,2,2,2,4,2,5,5,2,2,5,4,2,2,1,2,2,2,2,2,2,2,1,152,"Baja Afectación"
"Andalucía","Jaén","Hombre",42,2,2,2,2,4,4,2,3,3,4,3,3,3,2,1,1,1,1,1,3,4,2,1,3,3,2,3,3,1,2,1,1,1,1,2,2,1,5,5,1,2,2,2,2,1,2,2,1,1,1,1,1,2,1,112,"Moderada Afectación"
"Andalucía","Jaén","Hombre",58,2,2,2,2,4,4,4,4,1,4,4,4,4,1,4,3,2,1,2,4,4,4,4,3,4,4,4,4,5,5,2,2,2,1,5,5,5,5,4,1,5,5,3,2,1,1,2,2,2,2,2,2,2,1,163,"Baja Afectación"
"Andalucía","Jaén","Mujer",65,1,2,2,1,2,2,2,2,2,2,4,2,2,2,4,1,2,1,2,3,1,2,4,1,3,1,1,1,1,5,1,1,1,1,5,5,1,5,2,1,4,2,1,1,1,2,2,2,2,2,2,1,2,1,109,"Moderada Afectación"
"Andalucía","Jaén","Hombre",65,1,2,2,2,4,4,4,4,4,4,4,4,4,2,2,1,2,1,2,4,4,4,4,4,3,3,4,4,4,5,2,4,5,5,5,5,4,5,5,5,5,5,5,2,2,2,1,2,2,2,2,2,2,2,177,"Baja Afectación"
"Andalucía","Jaén","Mujer",73,2,2,2,2,2,2,2,2,2,4,3,2,2,4,4,1,1,2,1,2,2,2,4,2,4,2,2,2,1,4,2,2,1,5,1,2,2,5,5,5,5,2,1,1,2,1,2,2,1,1,1,1,2,1,122,"Moderada Afectación"
"Andalucía","Jaén","Hombre",48,2,2,2,2,2,2,3,3,3,4,4,3,3,2,2,1,2,1,2,4,3,2,3,3,3,3,3,2,2,5,2,3,2,3,5,3,2,5,5,5,4,2,2,2,2,2,2,1,2,2,2,2,2,1,141,"Baja Afectación"
"Andalucía","Jaén","Mujer",68,1,2,2,2,2,3,4,3,2,4,4,4,4,4,4,1,1,2,2,4,4,4,4,4,4,4,4,4,2,2,5,2,2,2,5,5,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,153,"Baja Afectación"
"Andalucía","Jaén","Mujer",55,2,2,2,2,3,2,4,4,2,4,3,3,2,3,4,1,1,1,2,3,1,1,4,3,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,2,2,2,2,2,2,1,111,"Moderada Afectación"
"Andalucía","Jaén","Mujer",23,2,2,2,2,2,3,2,1,1,3,2,2,1,2,1,1,1,1,1,1,1,1,4,3,3,2,2,2,2,4,1,1,1,1,4,2,1,5,5,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,101,"Moderada Afectación"
"Andalucía","Jaén","Hombre",26,2,2,2,2,4,4,3,3,3,3,4,3,3,2,2,1,1,1,1,2,3,3,4,4,4,4,3,3,3,3,2,3,2,3,2,2,3,4,4,3,4,4,3,2,2,1,2,1,2,2,2,2,2,1,140,"Moderada Afectación"
"Andalucía","Jaén","Hombre",44,1,2,2,1,3,3,1,1,2,4,4,4,3,4,3,1,2,1,2,3,3,3,3,3,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,103,"Moderada Afectación"
"Andalucía","Jaén","Hombre",36,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,4,2,1,4,1,2,2,1,1,2,1,2,2,2,2,2,1,136,"Moderada Afectación"
"Andalucía","Jaén","Hombre",49,1,2,2,1,4,4,4,4,4,4,4,4,3,3,3,3,2,1,2,4,4,4,3,3,4,4,4,4,4,5,1,1,1,1,3,4,1,1,1,1,4,1,1,1,2,2,1,2,2,2,2,2,2,1,138,"Moderada Afectación"
"Andalucía","Jaén","Mujer",47,2,2,2,2,2,2,3,1,2,4,4,2,2,2,3,1,1,1,2,2,3,2,4,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,112,"Moderada Afectación"
"Andalucía","Jaén","Mujer",58,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,57,"Alta Afectación"
"Andalucía","Jaén","Mujer",53,2,2,2,1,2,3,4,4,3,4,4,4,4,4,3,1,1,1,2,4,3,4,4,3,3,3,4,3,2,5,2,2,2,2,2,2,4,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,136,"Moderada Afectación"
"Andalucía","Jaén","Hombre",43,1,2,2,1,4,4,4,4,4,4,4,4,4,4,2,1,2,1,2,4,4,4,4,4,4,4,4,3,2,3,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,132,"Moderada Afectación"
"Andalucía","Jaén","Hombre",20,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2,1,1,1,2,4,4,3,4,4,4,4,3,4,2,1,2,2,2,1,1,1,2,2,2,2,5,2,2,2,1,1,1,2,2,2,2,2,2,1,134,"Moderada Afectación"
"Andalucía","Málaga","Mujer",65,1,2,2,2,3,3,3,3,3,4,4,3,1,1,4,1,1,1,2,3,3,3,4,2,4,3,3,3,1,1,1,1,1,1,1,1,2,5,5,3,3,2,1,2,2,1,1,2,2,2,2,2,2,1,120,"Moderada Afectación"
"Andalucía","Málaga","Hombre",56,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,4,4,4,4,4,4,4,4,4,2,5,3,2,2,2,5,5,2,5,2,2,5,2,2,2,2,1,1,2,2,2,2,2,2,1,159,"Baja Afectación"
"Andalucía","Málaga","Mujer",37,3,2,2,1,4,4,3,4,4,4,4,4,2,4,4,3,2,1,2,4,4,3,4,4,4,3,3,4,4,5,1,1,4,1,4,4,5,1,1,1,5,5,5,2,2,2,2,1,2,2,2,2,2,1,157,"Baja Afectación"
"Andalucía","Málaga","Mujer",41,2,2,2,1,1,2,1,1,2,2,1,2,3,2,2,1,1,3,1,2,1,2,4,1,2,2,2,2,2,2,2,1,2,2,1,2,1,5,5,1,5,1,1,1,1,1,2,1,1,1,2,2,2,1,98,"Moderada Afectación"
"Andalucía","Málaga","Mujer",50,2,1,2,2,3,1,1,3,1,1,1,1,1,4,4,3,2,2,1,2,2,4,1,4,1,1,1,1,5,5,1,1,1,1,5,5,2,5,5,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,113,"Moderada Afectación"
"Andalucía","Málaga","Hombre",23,2,2,2,2,4,4,4,3,3,4,4,4,4,2,3,1,2,1,2,4,4,3,4,3,4,4,4,4,3,5,2,2,2,2,4,5,2,4,4,2,5,2,4,2,2,2,2,2,2,2,2,2,2,1,156,"Baja Afectación"
"Andalucía","Málaga","Mujer",52,1,2,2,1,4,4,4,4,3,4,4,4,4,3,4,1,1,1,2,4,3,3,4,4,4,3,3,3,3,5,2,2,1,3,3,2,1,1,2,1,5,5,2,2,1,2,1,2,2,2,2,2,2,1,141,"Baja Afectación"
"Andalucía","Málaga","Hombre",65,3,2,2,1,4,4,4,4,4,4,4,4,4,4,4,3,2,1,2,4,4,4,4,4,4,3,4,4,4,5,5,4,3,5,5,5,5,5,5,3,5,5,5,2,2,1,2,2,2,2,2,2,2,1,184,"Baja Afectación"
"Andalucía","Málaga","Mujer",43,1,1,2,2,3,3,4,4,3,4,4,4,4,4,4,1,1,1,2,4,3,4,4,3,4,4,4,4,3,3,3,2,2,2,2,5,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,141,"Baja Afectación"
"Andalucía","Málaga","Mujer",53,3,2,2,2,4,4,4,4,3,4,4,4,4,2,2,1,1,1,2,4,4,4,4,3,3,4,4,4,4,5,2,2,2,2,2,5,2,5,5,2,5,2,2,1,1,1,1,2,2,2,2,1,2,1,150,"Baja Afectación"
"Andalucía","Málaga","Mujer",34,1,2,2,2,4,3,3,1,3,4,4,3,3,2,2,1,1,1,1,4,3,3,4,2,1,3,3,3,2,2,1,1,1,1,1,3,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,113,"Moderada Afectación"
"Andalucía","Málaga","Mujer",28,2,1,2,2,3,3,3,3,2,4,3,3,2,3,3,1,2,1,1,3,3,3,3,3,2,3,3,3,2,2,2,2,2,1,2,3,2,4,4,2,4,2,2,1,1,2,1,2,2,2,2,2,2,1,124,"Moderada Afectación"
"Andalucía","Málaga","Hombre",40,4,2,2,2,4,3,4,4,3,4,4,3,3,2,3,1,1,1,2,3,3,2,4,3,2,4,3,3,4,4,1,3,4,3,3,1,1,1,1,1,3,1,3,1,1,2,1,2,1,2,2,2,2,1,130,"Moderada Afectación"
"Andalucía","Málaga","Mujer",41,1,2,2,1,2,3,3,4,3,4,4,4,3,3,3,1,1,3,2,4,4,4,4,3,1,2,3,4,1,1,1,1,1,1,1,1,3,3,1,1,4,3,1,2,2,2,2,1,2,2,2,2,2,1,122,"Moderada Afectación"
"Andalucía","Málaga","Hombre",42,2,2,2,2,3,4,3,3,4,4,4,3,4,1,4,3,2,1,2,4,4,4,4,4,4,4,3,3,4,5,2,5,5,3,5,5,5,3,3,3,5,1,2,2,2,2,2,2,2,2,2,2,2,1,164,"Baja Afectación"
"Andalucía","Málaga","Hombre",60,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,1,1,1,2,4,4,3,4,4,4,3,4,4,2,2,1,1,1,1,2,3,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,129,"Moderada Afectación"
"Andalucía","Málaga","Mujer",46,2,2,2,2,1,3,3,3,2,4,4,2,2,2,2,3,1,1,2,2,2,2,3,2,4,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,1,115,"Moderada Afectación"
"Andalucía","Málaga","Hombre",63,3,2,2,2,3,4,3,4,3,4,4,4,4,4,4,1,2,1,2,3,3,3,4,3,4,4,4,4,4,3,4,4,2,4,4,3,3,5,5,4,4,4,4,2,1,2,2,2,2,2,2,2,2,1,165,"Baja Afectación"
"Andalucía","Málaga","Mujer",27,3,2,2,1,4,4,4,4,3,4,4,4,4,4,3,1,1,3,2,4,4,4,4,4,4,3,4,4,3,5,4,3,2,2,2,4,2,2,1,1,5,2,2,2,2,2,2,1,2,2,2,2,2,2,153,"Baja Afectación"
"Andalucía","Málaga","Mujer",32,3,2,2,2,4,4,4,4,4,4,4,3,3,3,4,1,1,1,2,4,3,3,3,4,3,3,3,3,3,5,2,3,3,2,3,3,3,5,5,4,4,5,4,2,2,2,2,2,2,2,2,2,2,1,159,"Baja Afectación"
"Andalucía","Málaga","Mujer",20,3,2,2,2,2,1,1,2,4,4,4,4,4,3,2,1,2,1,2,3,3,2,1,1,4,1,1,4,3,5,3,3,4,1,5,5,3,5,5,3,1,3,3,1,1,2,2,2,1,2,2,2,2,1,136,"Moderada Afectación"
"Andalucía","Málaga","Mujer",43,2,2,2,2,4,3,3,4,2,4,4,4,4,1,4,1,1,1,2,4,4,3,4,3,3,4,4,3,2,2,2,2,2,3,3,3,5,5,5,3,5,2,2,1,2,2,2,1,2,2,2,2,2,1,147,"Baja Afectación"
"Andalucía","Málaga","Hombre",43,1,2,2,2,3,3,2,3,2,4,3,3,3,1,2,1,1,1,1,2,3,3,4,2,3,3,2,3,2,4,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,105,"Moderada Afectación"
"Andalucía","Málaga","Mujer",23,2,2,2,2,3,3,3,2,4,4,4,4,4,3,3,1,1,1,2,3,3,3,3,3,3,3,3,3,3,4,1,1,1,1,4,4,3,4,4,1,2,4,3,1,1,2,2,2,1,2,2,2,2,1,135,"Moderada Afectación"
"Andalucía","Málaga","Mujer",37,2,2,2,2,1,3,1,3,1,3,4,1,1,4,4,3,1,1,1,2,3,1,4,4,3,3,1,1,2,2,2,2,2,2,2,1,1,5,5,2,4,4,4,1,1,2,1,1,2,2,2,2,2,1,119,"Moderada Afectación"
"Andalucía","Málaga","Mujer",18,1,2,2,2,4,4,4,4,3,3,4,4,4,4,4,1,2,1,2,4,4,4,4,4,4,4,4,4,2,5,1,1,1,1,5,5,1,5,5,5,5,5,1,1,2,2,2,2,2,2,2,2,2,1,159,"Baja Afectación"
"Andalucía","Málaga","Hombre",57,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,3,3,2,5,5,3,5,5,5,2,1,1,1,2,2,2,2,2,2,2,162,"Baja Afectación"
"Andalucía","Málaga","Hombre",43,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,3,2,1,2,4,4,4,1,4,4,4,2,1,3,4,3,3,1,3,4,4,1,5,2,4,4,5,5,2,1,2,2,1,1,2,2,2,2,1,154,"Baja Afectación"
"Andalucía","Málaga","Hombre",42,1,2,2,2,3,4,3,4,3,4,4,3,3,3,4,1,1,1,2,4,3,2,3,3,3,4,3,3,1,1,1,1,1,1,2,2,2,5,5,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,127,"Moderada Afectación"
"Andalucía","Málaga","Mujer",49,2,2,2,1,3,1,1,2,3,3,3,2,3,2,2,1,1,1,2,2,2,2,2,2,4,2,2,2,2,3,1,2,2,2,2,1,2,5,1,1,2,1,1,1,1,1,2,1,2,2,1,1,2,1,100,"Moderada Afectación"
"Andalucía","Málaga","Mujer",28,2,1,2,2,2,3,3,4,2,4,4,3,3,2,3,1,1,1,2,3,4,3,4,2,3,3,3,3,3,4,2,2,2,3,4,4,2,5,5,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,138,"Moderada Afectación"
"Andalucía","Málaga","Hombre",46,2,2,1,1,2,3,3,4,4,4,3,4,4,2,1,1,1,3,2,4,3,3,4,3,4,3,3,4,2,4,2,2,2,1,3,2,2,5,3,2,5,3,2,1,1,2,1,1,2,2,2,2,2,1,135,"Moderada Afectación"
"Andalucía","Málaga","Hombre",43,2,2,2,1,4,4,3,4,2,4,4,4,4,4,4,3,2,3,2,4,4,4,4,4,4,3,2,3,3,5,3,3,2,3,5,5,3,3,3,3,5,5,5,1,1,2,2,1,2,2,2,2,2,1,164,"Baja Afectación"
"Andalucía","Málaga","Hombre",43,3,2,2,2,2,3,4,4,4,4,4,4,4,3,4,3,2,1,2,4,4,3,3,4,4,4,3,3,3,4,3,3,2,3,4,3,2,5,4,4,3,3,5,2,2,2,2,1,2,2,2,2,2,1,160,"Baja Afectación"
"Andalucía","Málaga","Hombre",60,1,2,2,2,1,3,4,4,4,4,4,4,4,3,4,3,2,2,2,4,3,4,4,4,4,4,4,4,4,5,5,5,3,5,5,4,3,5,3,5,5,5,5,1,2,2,2,2,2,2,2,2,2,1,177,"Baja Afectación"
"Andalucía","Málaga","Mujer",58,1,2,2,2,2,4,2,4,1,4,4,2,1,1,4,3,2,1,2,2,3,1,4,1,4,2,2,2,3,5,2,2,1,2,4,4,1,1,1,1,5,5,4,2,2,2,2,1,2,2,2,2,2,1,126,"Moderada Afectación"
"Andalucía","Málaga","Mujer",44,1,2,2,2,1,3,1,3,3,4,3,3,3,4,3,1,1,1,2,3,3,3,4,3,4,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,104,"Moderada Afectación"
