"","Prediction","Reference","Freq"
"1","Alta Afectación","Alta Afectación",22
"2","Moderada Afectación","Alta Afectación",2
"3","Baja Afectación","Alta Afectación",0
"4","Alta Afectación","Moderada Afectación",5
"5","Moderada Afectación","Moderada Afectación",169
"6","Baja Afectación","Moderada Afectación",3
"7","Alta Afectación","Baja Afectación",0
"8","Moderada Afectación","Baja Afectación",4
"9","Baja Afectación","Baja Afectación",122
