"cluster","P1","P2","P3","P3A","P5_1","P5_2","P5_3","P5_4","P6_1","P6_2","P6_3","P6_4","P6_5","P6_6","P6_7","P7","P8","P9","P10","P11_1","P11_2","P11_3","P11_4","P11_5","P11_6","P11_7","P11_8","P11_9","P12_1","P12_2","P12_3","P12_4","P12_5","P12_6","P12_7","P12_8","P12_9","P12_10","P12_11","P12_12","P12_13","P12_14","P12_15","P14A","P14B","P16A","P16B","P18","P26","P27","P28","P29","P30","P13_dolores"
1,-0.3,-0.23,0.16,0.08,-0.89,-1.18,-1.4,-1.38,-1.01,-1.11,-1.38,-1.53,-1.18,-0.79,-0.88,-0.43,-0.68,-0.2,-1.41,-1.47,-1.4,-1.32,-1.03,-1.06,-1.19,-1.52,-1.47,-1.37,-0.75,-0.77,-0.61,-0.6,-0.5,-0.46,-0.6,-0.64,-0.63,-0.24,-0.31,-0.33,-0.66,-0.62,-0.69,-0.93,-0.51,-0.41,-0.44,-0.14,-0.47,-0.6,-1.03,-1.05,-0.41,-0.52
2,0.31,-0.04,0.2,0.3,0.49,0.62,0.58,0.47,0.54,0.36,0.39,0.54,0.58,0.43,0.48,0.22,0.52,-0.08,0.43,0.64,0.61,0.68,0.33,0.62,0.49,0.64,0.61,0.61,0.4,0.49,0.66,0.6,0.5,0.57,0.54,0.66,0.57,0.49,0.59,0.49,0.64,0.63,0.66,0.59,0.49,0.17,0.11,-0.1,0.24,0.17,0.24,0.22,0.1,0.49
3,-0.34,-0.07,0.1,0.01,-0.01,-0.09,-0.05,0.06,-0.06,-0.05,0.06,0.03,-0.13,-0.01,-0.01,-0.22,-0.34,-0.24,0.08,-0.02,0,-0.17,0.18,-0.22,0.15,0.1,0.02,0.05,-0.38,-0.45,-0.39,-0.41,-0.41,-0.44,-0.46,-0.36,-0.35,-0.41,-0.37,-0.42,-0.31,-0.32,-0.42,-0.15,-0.28,-0.01,-0.08,-0.03,-0.02,0.01,0.07,0.23,-0.08,-0.22
