"cluster","P1","P2","P3","P3A","P5_1","P5_2","P5_3","P5_4","P6_1","P6_2","P6_3","P6_4","P6_5","P6_6","P6_7","P7","P8","P9","P10","P11_1","P11_2","P11_3","P11_4","P11_5","P11_6","P11_7","P11_8","P11_9","P12_1","P12_2","P12_3","P12_4","P12_5","P12_6","P12_7","P12_8","P12_9","P12_10","P12_11","P12_12","P12_13","P12_14","P12_15","P14A","P14B","P16A","P16B","P18","P26","P27","P28","P29","P30","P13_dolores"
1,-0.17,-0.03,0.09,-0.03,0.02,0.07,0.05,0.16,0,0.12,0.22,0.1,-0.04,-0.03,0.04,-0.2,-0.27,-0.12,0.23,0.16,0.08,0.07,0.13,0.03,0.15,0.17,0.09,0.09,-0.27,-0.2,-0.34,-0.34,-0.29,-0.31,-0.27,-0.3,-0.26,-0.14,-0.17,-0.27,-0.18,-0.21,-0.27,-0.07,-0.17,-0.04,-0.03,-0.07,0.09,0.1,0.1,0.17,0.05,-0.21
2,0.46,0.08,-0.05,0.08,0.49,0.6,0.63,0.51,0.57,0.36,0.39,0.6,0.67,0.54,0.53,0.47,0.63,0.11,0.43,0.66,0.67,0.69,0.43,0.65,0.48,0.62,0.67,0.68,0.68,0.62,0.75,0.75,0.64,0.65,0.68,0.68,0.64,0.46,0.49,0.59,0.65,0.62,0.66,0.6,0.53,0.17,0.19,0.11,0.2,0.19,0.2,0.23,0.13,0.55
3,-0.42,-0.06,-0.1,-0.07,-0.85,-1.12,-1.14,-1.17,-0.93,-0.84,-1.09,-1.18,-1.02,-0.82,-0.94,-0.36,-0.5,0.06,-1.17,-1.39,-1.26,-1.26,-0.98,-1.14,-1.09,-1.37,-1.28,-1.3,-0.57,-0.62,-0.54,-0.55,-0.47,-0.45,-0.57,-0.51,-0.52,-0.47,-0.47,-0.42,-0.7,-0.6,-0.54,-0.84,-0.54,-0.2,-0.25,-0.02,-0.51,-0.52,-0.53,-0.72,-0.32,-0.47
